Destination,Dates,Price,Group,Period,Status,Regio
Menorca,"['03.09.2023', '10.09.2023']",144,warme-reiseziele,2023-09,2023-01-28,Europe Spain
Valencia,"['28.08.2023', '04.09.2023']",145,warme-reiseziele,2023-08,2023-01-28,Europe Spain
Malta,"['30.10.2023', '03.11.2023']",146,warme-reiseziele,2023-10,2023-01-28,Europe
Kairo,"['28.12.2023', '09.01.2024']",292,weihnachtsferien,2023-12,2023-01-28,MENA
New York La Guardia,"['01.12.2023', '13.12.2023']",335,weihnachten,2023-12,2023-01-28,USA East
Thessaloniki,"['15.05.2023', '24.05.2023']",39,beste-urlaubsziele-des-jahres,2023-05,2023-01-28,Europe
Malta,"['24.04.2023', '05.05.2023']",42,beste-urlaubsziele-des-jahres,2023-04,2023-01-28,Europe
Thessaloniki,"['24.02.2023', '04.03.2023']",93,beste-urlaubsziele-des-jahres,2023-02,2023-01-28,Europe
Malta,"['30.10.2023', '03.11.2023']",146,beste-urlaubsziele-des-jahres,2023-10,2023-01-28,Europe
Halifax,"['08.03.2023', '27.03.2023']",433,beste-urlaubsziele-des-jahres,2023-03,2023-01-28,Europe
Kuala Lumpur,"['21.09.2023', '10.10.2023']",572,beste-urlaubsziele-des-jahres,2023-09,2023-01-28,Asia
Bogota,"['18.10.2023', '14.11.2023']",589,beste-urlaubsziele-des-jahres,2023-10,2023-01-28,Karibik
Johannesburg,"['02.12.2023', '26.12.2023']",594,beste-urlaubsziele-des-jahres,2023-12,2023-01-28,Africa
Lima,"['20.08.2023', '03.09.2023']",713,beste-urlaubsziele-des-jahres,2023-08,2023-01-28,Karibik
Kapstadt,"['02.12.2023', '24.12.2023']",736,beste-urlaubsziele-des-jahres,2023-12,2023-01-28,Africa
Medellin,"['04.12.2023', '15.12.2023']",810,beste-urlaubsziele-des-jahres,2023-12,2023-01-28,
Perth,"['01.11.2023', '28.11.2023']",882,beste-urlaubsziele-des-jahres,2023-11,2023-01-28,Asia
Baku,"['03.04.2023', '15.04.2023']",287,osterferien,2023-04,2023-01-28,
Palermo,"['22.09.2023', '29.09.2023']",81,wo-urlaub-aktuell-moeglich-ist,2023-09,2023-01-28,Europe Italy
Malaga,"['07.10.2023', '14.10.2023']",146,wo-urlaub-aktuell-moeglich-ist,2023-10,2023-01-28,Europe Spain
Granada,"['04.03.2023', '18.03.2023']",147,wo-urlaub-aktuell-moeglich-ist,2023-03,2023-01-28,
Menorca,"['25.03.2023', '01.04.2023']",147,wo-urlaub-aktuell-moeglich-ist,2023-03,2023-01-28,Europe Spain
Sevilla,"['30.09.2023', '10.10.2023']",147,wo-urlaub-aktuell-moeglich-ist,2023-09,2023-01-28,Europe Spain
Las Palmas,"['12.09.2023', '27.09.2023']",149,wo-urlaub-aktuell-moeglich-ist,2023-09,2023-01-28,Europe Spain
Jerez de la Frontera,"['13.09.2023', '28.09.2023']",205,wo-urlaub-aktuell-moeglich-ist,2023-09,2023-01-28,Europe Spain
Bangkok,"['16.09.2023', '03.10.2023']",460,wo-urlaub-aktuell-moeglich-ist,2023-09,2023-01-28,Asia
Colombo,"['01.10.2023', '13.10.2023']",589,wo-urlaub-aktuell-moeglich-ist,2023-10,2023-01-28,Asia
Las Palmas,"['19.03.2023', '30.03.2023']",88,kanaren,2023-03,2023-01-28,Europe Spain
Las Palmas,"['03.05.2023', '17.05.2023']",141,kanaren,2023-05,2023-01-28,Europe Spain
Teneriffa Süd,"['03.02.2023', '06.02.2023']",142,kanaren,2023-02,2023-01-28,Europe Spain
Fuerteventura,"['08.03.2023', '14.03.2023']",144,kanaren,2023-03,2023-01-28,Karibik
